Days,technician 0,technician 1,technician 2,technician 3,technician 4,technician 5,technician 6,technician 7,technician 8,technician 9,technician 10,technician 11,technician 12,technician 13,technician 14
20,"1095, 1933, 1800, 631, 773, 1176","528, 1180, 19, 780, 2208, 1887, 1209","2494, 2458, 607, 412, 2076, 1245, 1274, 709","1371, 210, 1677, 1598, 189, 1111, 1963","2101, 2112, 507, 330, 613, 2476, 2731","1424, 1157, 1773, 1779, 96, 103, 1477","2394, 864, 924, 1728, 2743, 2172, 16","2693, 2018, 529, 1703, 137, 784, 2382","1338, 1378, 465, 843, 2745","627, 1045, 2474, 1601, 1146, 1242, 492","261, 2237, 2363, 954, 2047, 2675, 60","2724, 1568, 248, 2182, 2660, 1514, 1754","1318, 2250, 775, 682, 1998, 1710, 1352","2670, 1441, 427, 2152, 517, 579","1173, 334, 884, 93, 1641, 1412"
21,"1046, 1912, 116, 136, 547, 541, 796","1325, 2211, 147, 644, 1721, 185","1059, 2355, 988, 1958, 193, 1697, 2721","378, 2435, 885, 518, 2169, 1813, 2156","2342, 2073, 2026, 2309, 1746, 1281, 1854","998, 2596, 828, 1674, 2210, 1949, 278","2111, 386, 1922, 1978, 2120, 2140, 504","648, 601, 2093, 2597, 1416, 1954, 332","596, 1542, 2762, 175, 262, 840, 2610","257, 836, 1882, 538, 1651, 1664, 1857","1665, 1136, 2710, 1449, 615, 1766","2712, 1044, 717, 834, 107, 462, 2694","1657, 2399, 953, 1879, 274, 888, 2644, 2146","842, 1385, 343, 2390, 156, 118","2591, 400, 1550, 2581, 1627, 2424, 1776"
22,"1654, 2285, 696, 869, 1748, 917, 226","1866, 1126, 2649, 1847, 218, 204, 283","484, 524, 2568, 272, 863, 292, 809","1211, 2535, 2453, 277, 807, 1851, 1997","1763, 1251, 2451, 694, 2012, 1955, 2682","1533, 2335, 1031, 2067, 1010, 1399, 602","1220, 1342, 2443, 835, 460, 336, 761","461, 845, 152, 1806, 2690, 414, 1170","1921, 482, 2539, 2197, 1129, 2083","179, 1067, 1411, 706, 630, 1253","1613, 933, 112, 2239, 2588, 421","213, 5, 1168, 2230, 2761, 431, 393","551, 2099, 1394, 871, 1519, 2142","2087, 1365, 2147, 2427, 513, 692, 2613","2256, 1465, 347, 1216, 2452, 1709, 479"
23,"2529, 1070, 1475, 377, 984, 800, 1185","1673, 2546, 24, 952, 2022, 162, 2647","1775, 2409, 2444, 176, 105, 1982","322, 2586, 2715, 2503, 1910, 1620, 879","2061, 361, 2373, 1320, 571, 1959, 1064","2571, 2050, 304, 1987, 1286, 2522","1863, 20, 634, 37, 2775, 617, 874","1049, 2687, 1373, 1895, 1234, 1101, 385","217, 2254, 2569, 1694, 2135, 1886","2329, 1497, 1899, 2454, 1210, 2117","1965, 2641, 268, 1273, 1470, 320, 2367","1546, 1826, 926, 316, 434, 2153, 1463","2480, 1050, 946, 2757, 1315, 78, 429","1655, 1021, 2441, 1019, 2081, 979, 846","144, 584, 1494, 2482, 2700, 2065, 2607"
24,"391, 138, 313, 949, 1206, 559","457, 2027, 586, 1522, 904, 612","308, 1364, 1079, 2493, 1645, 2642","837, 2624, 435, 2678, 1150, 2303, 2290, 909","947, 702, 2001, 2219, 2472, 2728, 2279","1084, 708, 2540, 1151, 958, 693, 1119","855, 1143, 1679, 2138, 1492, 445, 2323","1541, 2433, 2620, 1603, 980, 1823, 2565","1764, 1312, 739, 2283, 2371, 390, 1610","2498, 2241, 870, 1056, 1815, 2656, 697","1460, 1457, 1391, 652, 723, 170, 441","2345, 522, 1515, 2086, 1277, 1080, 487","763, 1602, 2445, 721, 481, 967","89, 188, 701, 2006, 1614, 1683, 1432, 989","983, 58, 1547, 1057, 21, 506"
25,"240, 2150, 2085, 413, 799, 1345, 1908, 608","2392, 2551, 279, 2756, 1223, 1884, 2020","2734, 1204, 1937, 1707, 2459, 75, 2489","2420, 582, 194, 1838, 1917, 1257, 1138, 899, 384","1198, 1088, 1521, 1974, 1246, 950, 1964","811, 2561, 2269, 1608, 550, 2583","480, 466, 691, 265, 1106, 422, 908","1121, 2393, 443, 511, 2652, 1038","2764, 488, 1455, 2215, 1445, 2562, 1605","109, 1328, 1255, 134, 2465, 2653, 798","1417, 2216, 703, 1139, 1340, 2242, 2464","2631, 1686, 1228, 2064, 1344, 2732, 2567","2699, 565, 981, 2349, 675, 1923, 560","2697, 2060, 376, 1438, 212, 2611, 1187","2119, 2368, 2630, 677, 1896, 2487, 1611, 2767"
26,"2164, 1822, 1208, 894","1372, 882, 1580, 1279","1068, 83, 2385, 1100","1075, 587, 786, 861","2162, 2457, 464, 1600","2297, 2388, 897, 275","620, 2577, 762, 1221","234, 1358, 486, 1423, 2175","1098, 2442, 2560, 2265","774, 216, 915, 468","1401, 2189, 2418, 237","1177, 2772, 4, 2477","2711, 192, 1968, 1543","1222, 2384, 1925, 1659, 1002","654, 891, 2707, 22"
27,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,
